2025-11-25T00:47:25.230Z [ctureModificationListener$Companion.initForProject] INFO ProjectStructureModificationListener is init for project Python
2025-11-25T00:47:25.233Z [s.AiToolwindowsInitializer.reinitializeToolWindows] INFO AI state ENABLED
2025-11-25T00:51:18.060Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1227315206/2331512847 B
2025-11-25T00:51:19.248Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1237805062/2331512847 B
2025-11-25T00:51:20.375Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1248294918/2331512847 B
2025-11-25T00:51:21.331Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1258784774/2331512847 B
2025-11-25T00:51:22.268Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1269274630/2331512847 B
2025-11-25T00:51:23.983Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1279764486/2331512847 B
2025-11-25T00:51:26.143Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1290254342/2331512847 B
2025-11-25T00:51:28.064Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1300744198/2331512847 B
2025-11-25T00:51:29.964Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1311234054/2331512847 B
2025-11-25T00:51:31.857Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1321723910/2331512847 B
2025-11-25T00:51:33.753Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1332213766/2331512847 B
2025-11-25T00:51:35.634Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1342703622/2331512847 B
2025-11-25T00:51:37.339Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1353193478/2331512847 B
2025-11-25T00:51:38.990Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1363683334/2331512847 B
2025-11-25T00:51:40.437Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1374173190/2331512847 B
2025-11-25T00:51:41.783Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1384663046/2331512847 B
2025-11-25T00:51:42.962Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1395152902/2331512847 B
2025-11-25T00:51:43.943Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1405642758/2331512847 B
2025-11-25T00:51:44.883Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1416132614/2331512847 B
2025-11-25T00:51:46.183Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1426622470/2331512847 B
2025-11-25T00:51:48.085Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1437112326/2331512847 B
2025-11-25T00:51:50.053Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1447602182/2331512847 B
2025-11-25T00:51:52.042Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1458092038/2331512847 B
2025-11-25T00:51:53.933Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1468581894/2331512847 B
2025-11-25T00:51:55.843Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1479071750/2331512847 B
2025-11-25T00:51:57.729Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1489561606/2331512847 B
2025-11-25T00:51:59.526Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1500051462/2331512847 B
2025-11-25T00:52:01.260Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1510541318/2331512847 B
2025-11-25T00:52:02.827Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1521031174/2331512847 B
2025-11-25T00:52:04.246Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1531521030/2331512847 B
2025-11-25T00:52:05.453Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1542010886/2331512847 B
2025-11-25T00:52:06.598Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1552500742/2331512847 B
2025-11-25T00:52:07.563Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1562990598/2331512847 B
2025-11-25T00:52:08.539Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1573480454/2331512847 B
2025-11-25T00:52:10.382Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1583970310/2331512847 B
2025-11-25T00:52:12.801Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1594460166/2331512847 B
2025-11-25T00:52:15.091Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1604950022/2331512847 B
2025-11-25T00:52:17.328Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1615439878/2331512847 B
2025-11-25T00:52:19.535Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1625929734/2331512847 B
2025-11-25T00:52:21.736Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1636419590/2331512847 B
2025-11-25T00:52:23.806Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1646909446/2331512847 B
2025-11-25T00:52:25.675Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1657399302/2331512847 B
2025-11-25T00:52:27.298Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1667889158/2331512847 B
2025-11-25T00:52:28.803Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1678379014/2331512847 B
2025-11-25T00:52:30.548Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1688868870/2331512847 B
2025-11-25T00:52:32.107Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1699358726/2331512847 B
2025-11-25T00:52:33.572Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1709848582/2331512847 B
2025-11-25T00:52:34.979Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1720338438/2331512847 B
2025-11-25T00:52:36.355Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1730828294/2331512847 B
2025-11-25T00:52:37.730Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1741318150/2331512847 B
2025-11-25T00:52:39.081Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1751808006/2331512847 B
2025-11-25T00:52:40.452Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1762297862/2331512847 B
2025-11-25T00:52:41.807Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1772787718/2331512847 B
2025-11-25T00:52:43.146Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1783277574/2331512847 B
2025-11-25T00:52:44.471Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1793767430/2331512847 B
2025-11-25T00:52:45.780Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1804257286/2331512847 B
2025-11-25T00:52:46.996Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1814747142/2331512847 B
2025-11-25T00:52:48.176Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1825236998/2331512847 B
2025-11-25T00:52:49.279Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1835726854/2331512847 B
2025-11-25T00:52:50.584Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1846216710/2331512847 B
2025-11-25T00:52:54.719Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1856706566/2331512847 B
2025-11-25T00:52:58.185Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1867196422/2331512847 B
2025-11-25T00:53:01.318Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 1877686278/2331512847 B
